Name,Sweep (T1),,,
Date,12/06/2023,,,
Time,13:07:49,,,
Instrument,FPC1500 - 102527/003,,,
Firmware Version,V1.80,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,43000000,Hz,,
Frequency Offset,0,Hz,,
Span,1000000,Hz,,
Ref Level,-45,dBm,,
Ref Offset,0,dB,,
Ref Position,1.00 ,,,
Range,50,dB,,
RF Attenuation,Auto Low Distortion,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,30000,Hz,,
VBW,30000,Hz,,
SWT,0.02,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Off,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,43058375.6,Hz,,
Marker 1 Value,-80.29,dBm,,

Frequency [Hz],Magnitude [dBm],,,
42500000,-87.6708984375,,,
42500846.0236887,-88.1955108642578,,,
42501692.0473773,-88.2429122924805,,,
42502538.071066,-86.4759826660156,,,
42503384.0947547,-86.7260284423828,,,
42504230.1184433,-86.6646575927734,,,
42505076.142132,-87.8465576171875,,,
42505922.1658206,-84.9979400634766,,,
42506768.1895093,-84.3208465576172,,,
42507614.213198,-86.6890869140625,,,
42508460.2368866,-86.016716003418,,,
42509306.2605753,-85.1538848876953,,,
42510152.284264,-87.6829986572266,,,
42510998.3079526,-85.9329986572266,,,
42511844.3316413,-86.3936004638672,,,
42512690.3553299,-87.5143585205078,,,
42513536.3790186,-87.186393737793,,,
42514382.4027073,-85.7410583496094,,,
42515228.4263959,-84.7079010009766,,,
42516074.4500846,-84.6367645263672,,,
42516920.4737733,-86.303581237793,,,
42517766.4974619,-84.9666290283203,,,
42518612.5211506,-85.9329376220703,,,
42519458.5448393,-87.6292114257813,,,
42520304.5685279,-86.4178771972656,,,
42521150.5922166,-85.9812240600586,,,
42521996.6159052,-87.4345245361328,,,
42522842.6395939,-84.8834991455078,,,
42523688.6632826,-85.6087036132813,,,
42524534.6869712,-86.6861038208008,,,
42525380.7106599,-86.8117523193359,,,
42526226.7343486,-85.6782150268555,,,
42527072.7580372,-86.9766159057617,,,
42527918.7817259,-87.3311004638672,,,
42528764.8054146,-85.2373962402344,,,
42529610.8291032,-85.8002166748047,,,
42530456.8527919,-87.4172134399414,,,
42531302.8764805,-85.865592956543,,,
42532148.9001692,-85.3345031738281,,,
42532994.9238579,-85.4912185668945,,,
42533840.9475465,-87.1050033569336,,,
42534686.9712352,-87.0926132202148,,,
42535532.9949239,-87.4488296508789,,,
42536379.0186125,-88.9352264404297,,,
42537225.0423012,-85.7552108764648,,,
42538071.0659898,-85.4706192016602,,,
42538917.0896785,-86.8970108032227,,,
42539763.1133672,-84.8298721313477,,,
42540609.1370558,-85.4428253173828,,,
42541455.1607445,-86.8262100219727,,,
42542301.1844332,-88.3441390991211,,,
42543147.2081218,-86.4923629760742,,,
42543993.2318105,-85.7998504638672,,,
42544839.2554992,-84.8284378051758,,,
42545685.2791878,-88.026741027832,,,
42546531.3028765,-88.9376754760742,,,
42547377.3265651,-86.2060546875,,,
42548223.3502538,-87.158317565918,,,
42549069.3739425,-86.9876480102539,,,
42549915.3976311,-86.6640472412109,,,
42550761.4213198,-87.4938812255859,,,
42551607.4450085,-85.5999755859375,,,
42552453.4686971,-87.4716262817383,,,
42553299.4923858,-87.1620330810547,,,
42554145.5160744,-86.5339508056641,,,
42554991.5397631,-87.2224197387695,,,
42555837.5634518,-88.5320816040039,,,
42556683.5871404,-86.7095565795898,,,
42557529.6108291,-86.8083114624023,,,
42558375.6345178,-84.2687225341797,,,
42559221.6582064,-85.7885284423828,,,
42560067.6818951,-86.5013580322266,,,
42560913.7055838,-86.4519805908203,,,
42561759.7292724,-86.0971221923828,,,
42562605.7529611,-86.7480239868164,,,
42563451.7766497,-85.4770278930664,,,
42564297.8003384,-86.1679382324219,,,
42565143.8240271,-87.8451690673828,,,
42565989.8477157,-85.1968765258789,,,
42566835.8714044,-85.1931228637695,,,
42567681.8950931,-86.8685607910156,,,
42568527.9187817,-87.3098297119141,,,
42569373.9424704,-85.751708984375,,,
42570219.9661591,-84.3770523071289,,,
42571065.9898477,-85.3309783935547,,,
42571912.0135364,-85.2827911376953,,,
42572758.037225,-86.7259140014648,,,
42573604.0609137,-86.0288467407227,,,
42574450.0846024,-86.4011840820313,,,
42575296.108291,-86.7492141723633,,,
42576142.1319797,-85.9245529174805,,,
42576988.1556684,-86.6681365966797,,,
42577834.179357,-86.5428466796875,,,
42578680.2030457,-85.7970733642578,,,
42579526.2267343,-86.5819091796875,,,
42580372.250423,-87.7851943969727,,,
42581218.2741117,-86.2564239501953,,,
42582064.2978003,-86.3067169189453,,,
42582910.321489,-87.8383102416992,,,
42583756.3451777,-85.1998748779297,,,
42584602.3688663,-85.0511169433594,,,
42585448.392555,-86.949089050293,,,
42586294.4162437,-86.4289321899414,,,
42587140.4399323,-86.0450592041016,,,
42587986.463621,-86.8333511352539,,,
42588832.4873096,-86.0933990478516,,,
42589678.5109983,-86.9773254394531,,,
42590524.534687,-87.1326446533203,,,
42591370.5583756,-86.7686157226563,,,
42592216.5820643,-87.2667083740234,,,
42593062.605753,-87.0503616333008,,,
42593908.6294416,-85.9028778076172,,,
42594754.6531303,-86.3469543457031,,,
42595600.676819,-87.4815826416016,,,
42596446.7005076,-88.7523574829102,,,
42597292.7241963,-87.4969024658203,,,
42598138.7478849,-89.7603912353516,,,
42598984.7715736,-86.7857437133789,,,
42599830.7952623,-86.6816787719727,,,
42600676.8189509,-89.0395050048828,,,
42601522.8426396,-87.2263412475586,,,
42602368.8663283,-86.2503280639648,,,
42603214.8900169,-87.0573577880859,,,
42604060.9137056,-85.8770294189453,,,
42604906.9373942,-86.2402191162109,,,
42605752.9610829,-86.2012939453125,,,
42606598.9847716,-86.198486328125,,,
42607445.0084602,-86.3098449707031,,,
42608291.0321489,-86.9127883911133,,,
42609137.0558376,-86.7989730834961,,,
42609983.0795262,-85.8486480712891,,,
42610829.1032149,-85.8659515380859,,,
42611675.1269036,-85.3900299072266,,,
42612521.1505922,-86.1056365966797,,,
42613367.1742809,-85.1261444091797,,,
42614213.1979695,-87.1185913085938,,,
42615059.2216582,-85.4764633178711,,,
42615905.2453469,-85.4904556274414,,,
42616751.2690355,-86.9768600463867,,,
42617597.2927242,-88.4620513916016,,,
42618443.3164129,-87.7726440429688,,,
42619289.3401015,-88.1665496826172,,,
42620135.3637902,-88.5091018676758,,,
42620981.3874789,-88.5354156494141,,,
42621827.4111675,-87.6889343261719,,,
42622673.4348562,-86.3846435546875,,,
42623519.4585448,-87.8423156738281,,,
42624365.4822335,-88.5051040649414,,,
42625211.5059222,-87.2265548706055,,,
42626057.5296108,-88.9702606201172,,,
42626903.5532995,-87.5092926025391,,,
42627749.5769882,-85.3744964599609,,,
42628595.6006768,-85.6960906982422,,,
42629441.6243655,-85.2248916625977,,,
42630287.6480541,-85.3107986450195,,,
42631133.6717428,-84.6931838989258,,,
42631979.6954315,-88.1074600219727,,,
42632825.7191201,-86.6633911132813,,,
42633671.7428088,-85.2699661254883,,,
42634517.7664975,-86.2537841796875,,,
42635363.7901861,-87.1168365478516,,,
42636209.8138748,-86.7808837890625,,,
42637055.8375635,-87.0209350585938,,,
42637901.8612521,-86.9085388183594,,,
42638747.8849408,-85.6847229003906,,,
42639593.9086294,-88.2090148925781,,,
42640439.9323181,-87.1172943115234,,,
42641285.9560068,-88.3574981689453,,,
42642131.9796954,-87.0492858886719,,,
42642978.0033841,-85.7739181518555,,,
42643824.0270728,-84.828498840332,,,
42644670.0507614,-85.5655059814453,,,
42645516.0744501,-86.7144241333008,,,
42646362.0981388,-86.8886947631836,,,
42647208.1218274,-88.1484909057617,,,
42648054.1455161,-88.6433563232422,,,
42648900.1692047,-86.6997528076172,,,
42649746.1928934,-88.6467742919922,,,
42650592.2165821,-87.6486129760742,,,
42651438.2402707,-87.6278610229492,,,
42652284.2639594,-86.7948532104492,,,
42653130.2876481,-87.4977188110352,,,
42653976.3113367,-86.2881622314453,,,
42654822.3350254,-87.2264251708984,,,
42655668.358714,-87.4945220947266,,,
42656514.3824027,-86.2653656005859,,,
42657360.4060914,-85.5844802856445,,,
42658206.42978,-85.9644165039063,,,
42659052.4534687,-85.7913208007813,,,
42659898.4771574,-86.1575164794922,,,
42660744.500846,-87.3636856079102,,,
42661590.5245347,-88.8691024780273,,,
42662436.5482234,-88.4393005371094,,,
42663282.571912,-86.9031066894531,,,
42664128.5956007,-87.0283889770508,,,
42664974.6192893,-87.5007705688477,,,
42665820.642978,-86.8145980834961,,,
42666666.6666667,-85.2489013671875,,,
42667512.6903553,-85.4508743286133,,,
42668358.714044,-84.8577194213867,,,
42669204.7377327,-84.8428192138672,,,
42670050.7614213,-86.0661773681641,,,
42670896.78511,-88.7127227783203,,,
42671742.8087986,-87.9746246337891,,,
42672588.8324873,-86.951057434082,,,
42673434.856176,-87.1391983032227,,,
42674280.8798646,-87.2889175415039,,,
42675126.9035533,-87.9984436035156,,,
42675972.927242,-86.8677368164063,,,
42676818.9509306,-86.6169891357422,,,
42677664.9746193,-87.5256805419922,,,
42678510.998308,-84.8621673583984,,,
42679357.0219966,-85.6909942626953,,,
42680203.0456853,-86.5134048461914,,,
