Freq.	V(n016)
1.00000000000000e+05	(-1.15500772617189e+02dB,-8.56703720034336e+01°)
1.00695555005672e+05	(-1.15436745161677e+02dB,-8.57092614263941e+01°)
1.01395947979003e+05	(-1.15372682751030e+02dB,-8.57479597958773e+01°)
1.02101212570719e+05	(-1.15308584603555e+02dB,-8.57864688892054e+01°)
1.02811382665607e+05	(-1.15244449929193e+02dB,-8.58247904807922e+01°)
1.03526492384138e+05	(-1.15180277929327e+02dB,-8.58629263421868e+01°)
1.04246576084112e+05	(-1.15116067796585e+02dB,-8.59008782421118e+01°)
1.04971668362307e+05	(-1.15051818714652e+02dB,-8.59386479465708e+01°)
1.05701804056138e+05	(-1.14987529858062e+02dB,-8.59762372188915e+01°)
1.06437018245336e+05	(-1.14923200392003e+02dB,-8.60136478198235e+01°)
1.07177346253629e+05	(-1.14858829472108e+02dB,-8.60508815075771e+01°)
1.07922823650443e+05	(-1.14794416244242e+02dB,-8.60879400379334e+01°)
1.08673486252606e+05	(-1.14729959844297e+02dB,-8.61248251643166e+01°)
1.09429370126074e+05	(-1.14665459397969e+02dB,-8.61615386378598e+01°)
1.10190511587661e+05	(-1.14600914020541e+02dB,-8.61980822075291e+01°)
1.10956947206785e+05	(-1.14536322816660e+02dB,-8.62344576201826e+01°)
1.11728713807222e+05	(-1.14471684880107e+02dB,-8.62706666206709e+01°)
1.12505848468881e+05	(-1.14406999293568e+02dB,-8.63067109519523e+01°)
1.13288388529580e+05	(-1.14342265128397e+02dB,-8.63425923551574e+01°)
1.14076371586843e+05	(-1.14277481444374e+02dB,-8.63783125697225e+01°)
1.14869835499704e+05	(-1.14212647289466e+02dB,-8.64138733334816e+01°)
1.15668818390529e+05	(-1.14147761699576e+02dB,-8.64492763827813e+01°)
1.16473358646846e+05	(-1.14082823698288e+02dB,-8.64845234525826e+01°)
1.17283494923188e+05	(-1.14017832296613e+02dB,-8.65196162765814e+01°)
1.18099266142953e+05	(-1.13952786492726e+02dB,-8.65545565873497e+01°)
1.18920711500272e+05	(-1.13887685271697e+02dB,-8.65893461164155e+01°)
1.19747870461893e+05	(-1.13822527605223e+02dB,-8.66239865944312e+01°)
1.20580782769076e+05	(-1.13757312451345e+02dB,-8.66584797512643e+01°)
1.21419488439505e+05	(-1.13692038754172e+02dB,-8.66928273161784e+01°)
1.22264027769207e+05	(-1.13626705443591e+02dB,-8.67270310179305e+01°)
1.23114441334492e+05	(-1.13561311434969e+02dB,-8.67610925849075e+01°)
1.23970769993899e+05	(-1.13495855628865e+02dB,-8.67950137453144e+01°)
1.24833054890161e+05	(-1.13430336910715e+02dB,-8.68287962272964e+01°)
1.25701337452183e+05	(-1.13364754150528e+02dB,-8.68624417590945e+01°)
1.26575659397028e+05	(-1.13299106202567e+02dB,-8.68959520691864e+01°)
1.27456062731927e+05	(-1.13233391905023e+02dB,-8.69293288864698e+01°)
1.28342589756291e+05	(-1.13167610079696e+02dB,-8.69625739404387e+01°)
1.29235283063750e+05	(-1.13101759531647e+02dB,-8.69956889613298e+01°)
1.30134185544194e+05	(-1.13035839048864e+02dB,-8.70286756803064e+01°)
