Freq.	V(n017)
1.00000000000000e+05	(-1.02416945655503e+02dB,-8.61524400320643e+01°)
1.00695555005672e+05	(-1.01845486058471e+02dB,-8.62566849639937e+01°)
1.01395947979003e+05	(-1.01234334984949e+02dB,-8.63708328758791e+01°)
1.02101212570719e+05	(-1.00577489373622e+02dB,-8.64972616644189e+01°)
1.02811382665607e+05	(-9.98674788542232e+01dB,-8.66391558911772e+01°)
1.03526492384138e+05	(-9.90948451198876e+01dB,-8.68008807099745e+01°)
1.04246576084112e+05	(-9.82473679130197e+01dB,-8.69885849827834e+01°)
1.04971668362307e+05	(-9.73088736833085e+01dB,-8.72112160523880e+01°)
1.05701804056138e+05	(-9.62573242773423e+01dB,-8.74823158868542e+01°)
1.06437018245336e+05	(-9.50615917942280e+01dB,-8.78234034039334e+01°)
1.07177346253629e+05	(-9.36756632725285e+01dB,-8.82708576764859e+01°)
1.07922823650443e+05	(-9.20273521340100e+01dB,-8.88914048284448e+01°)
1.08673486252606e+05	(-8.99938112432062e+01dB,-8.98220267647759e+01°)
1.09429370126074e+05	(-8.73397189026073e+01dB,-9.13950272951257e+01°)
1.10190511587661e+05	(-8.35205241677351e+01dB,-9.46744557646700e+01°)
1.10956947206785e+05	(-7.67542770694149e+01dB,-1.05752693415339e+02°)
1.11728713807222e+05	(-6.96223415476656e+01dB,1.45837287217127e+02°)
1.12505848468881e+05	(-8.04254098373725e+01dB,1.07357710305860e+02°)
1.13288388529580e+05	(-8.54494181299748e+01dB,1.01557447870574e+02°)
1.14076371586843e+05	(-8.86356516575649e+01dB,9.92881600044927e+01°)
1.14869835499704e+05	(-9.09671070198043e+01dB,9.80718683755554e+01°)
1.15668818390529e+05	(-9.28053696847009e+01dB,9.73078679181366e+01°)
1.16473358646846e+05	(-9.43227429858007e+01dB,9.67791534111826e+01°)
1.17283494923188e+05	(-9.56146929707414e+01dB,9.63883829717221e+01°)
1.18099266142953e+05	(-9.67396166939582e+01dB,9.60854174391094e+01°)
1.18920711500272e+05	(-9.77358332934329e+01dB,9.58418099904407e+01°)
1.19747870461893e+05	(-9.86298414934290e+01dB,9.56402223614232e+01°)
1.20580782769076e+05	(-9.94407279365834e+01dB,9.54694855841319e+01°)
1.21419488439505e+05	(-1.00182695754622e+02dB,9.53220804753806e+01°)
1.22264027769207e+05	(-1.00866599631607e+02dB,9.51927594613319e+01°)
1.23114441334492e+05	(-1.01500921658122e+02dB,9.50777489610350e+01°)
1.23970769993899e+05	(-1.02092415830686e+02dB,9.49742657576723e+01°)
1.24833054890161e+05	(-1.02646547625162e+02dB,9.48802120449913e+01°)
1.25701337452183e+05	(-1.03167802159281e+02dB,9.47939766093821e+01°)
1.26575659397028e+05	(-1.03659905427109e+02dB,9.47143014183632e+01°)
1.27456062731927e+05	(-1.04125986459383e+02dB,9.46401898186968e+01°)
1.28342589756291e+05	(-1.04568698378907e+02dB,9.45708419520241e+01°)
1.29235283063750e+05	(-1.04990310251055e+02dB,9.45056084183854e+01°)
1.30134185544194e+05	(-1.05392777795111e+02dB,9.44439564426887e+01°)
1.31039340385837e+05	(-1.05777798537698e+02dB,9.43854447778349e+01°)
1.31950791077290e+05	(-1.06146855342852e+02dB,9.43297048213599e+01°)
1.32868581409652e+05	(-1.06501251139333e+02dB,9.42764262222033e+01°)
1.33792755478612e+05	(-1.06842136898296e+02dB,9.42253457788617e+01°)
1.34723357686569e+05	(-1.07170534376646e+02dB,9.41762387839137e+01°)
1.35660432744768e+05	(-1.07487354758851e+02dB,9.41289122076895e+01°)
1.36604025675440e+05	(-1.07793414053916e+02dB,9.40831992810030e+01°)
1.37554181813975e+05	(-1.08089445902473e+02dB,9.40389551531152e+01°)
1.38510946811093e+05	(-1.08376112299761e+02dB,9.39960533836917e+01°)
1.39474366635041e+05	(-1.08654012628632e+02dB,9.39543830877211e+01°)
1.40444487573800e+05	(-1.08923691312430e+02dB,9.39138465961747e+01°)
1.41421356237310e+05	(-1.09185644333290e+02dB,9.38743575264475e+01°)
1.42405019559708e+05	(-1.09440324811891e+02dB,9.38358391813845e+01°)
