Freq.	V(n016)
1.00000000000000e+05	(7.11412708224047e+01dB,4.82078597876358e+00°)
1.00695555005672e+05	(7.11439265010262e+01dB,4.77957894496143e+00°)
1.01395947979003e+05	(7.11466006136436e+01dB,4.73858675735132e+00°)
1.02101212570719e+05	(7.11492937079512e+01dB,4.69780753507014e+00°)
1.02811382665607e+05	(7.11520063365976e+01dB,4.65723940145183e+00°)
1.03526492384138e+05	(7.11547390573252e+01dB,4.61688048397541e+00°)
1.04246576084112e+05	(7.11574924331128e+01dB,4.57672891422017e+00°)
1.04971668362307e+05	(7.11602670323160e+01dB,4.53678282775661e+00°)
1.05701804056138e+05	(7.11630634288151e+01dB,4.49704036410919e+00°)
1.06437018245336e+05	(7.11658822021622e+01dB,4.45749966666525e+00°)
1.07177346253629e+05	(7.11687239377319e+01dB,4.41815888261401e+00°)
1.07922823650443e+05	(7.11715892268739e+01dB,4.37901616284922e+00°)
1.08673486252606e+05	(7.11744786670667e+01dB,4.34006966187696e+00°)
1.09429370126074e+05	(7.11773928620804e+01dB,4.30131753778368e+00°)
1.10190511587661e+05	(7.11803324221322e+01dB,4.26275795208190e+00°)
1.10956947206785e+05	(7.11832979640544e+01dB,4.22438906967621e+00°)
1.11728713807222e+05	(7.11862901114578e+01dB,4.18620905873081e+00°)
1.12505848468881e+05	(7.11893094949011e+01dB,4.14821609057572e+00°)
1.13288388529580e+05	(7.11923567520666e+01dB,4.11040833964171e+00°)
1.14076371586843e+05	(7.11954325279328e+01dB,4.07278398332615e+00°)
1.14869835499704e+05	(7.11985374749541e+01dB,4.03534120190053e+00°)
1.15668818390529e+05	(7.12016722532424e+01dB,3.99807817838759e+00°)
1.16473358646846e+05	(7.12048375307535e+01dB,3.96099309847458e+00°)
1.17283494923188e+05	(7.12080339834746e+01dB,3.92408415037345e+00°)
1.18099266142953e+05	(7.12112622956182e+01dB,3.88734952471762e+00°)
1.18920711500272e+05	(7.12145231598174e+01dB,3.85078741443761e+00°)
1.19747870461893e+05	(7.12178172773250e+01dB,3.81439601462842e+00°)
1.20580782769076e+05	(7.12211453582203e+01dB,3.77817352244400e+00°)
1.21419488439505e+05	(7.12245081216130e+01dB,3.74211813693195e+00°)
1.22264027769207e+05	(7.12279062958568e+01dB,3.70622805892292e+00°)
1.23114441334492e+05	(7.12313406187680e+01dB,3.67050149089922e+00°)
1.23970769993899e+05	(7.12348118378395e+01dB,3.63493663680669e+00°)
1.24833054890161e+05	(7.12383207104729e+01dB,3.59953170197159e+00°)
1.25701337452183e+05	(7.12418680042016e+01dB,3.56428489288515e+00°)
1.26575659397028e+05	(7.12454544969303e+01dB,3.52919441710975e+00°)
1.27456062731927e+05	(7.12490809771712e+01dB,3.49425848308617e+00°)
1.28342589756291e+05	(7.12527482442869e+01dB,3.45947529996649e+00°)
1.29235283063750e+05	(7.12564571087425e+01dB,3.42484307747227e+00°)
1.30134185544194e+05	(7.12602083923564e+01dB,3.39036002569140e+00°)
1.31039340385837e+05	(7.12640029285625e+01dB,3.35602435492347e+00°)
1.31950791077290e+05	(7.12678415626768e+01dB,3.32183427551749e+00°)
1.32868581409652e+05	(7.12717251521650e+01dB,3.28778799764433e+00°)
1.33792755478612e+05	(7.12756545669198e+01dB,3.25388373111551e+00°)
1.34723357686569e+05	(7.12796306895477e+01dB,3.22011968522690e+00°)
1.35660432744768e+05	(7.12836544156549e+01dB,3.18649406851750e+00°)
1.36604025675440e+05	(7.12877266541443e+01dB,3.15300508858319e+00°)
1.37554181813975e+05	(7.12918483275166e+01dB,3.11965095185128e+00°)
1.38510946811093e+05	(7.12960203721809e+01dB,3.08642986337726e+00°)
1.39474366635041e+05	(7.13002437387718e+01dB,3.05334002663166e+00°)
1.40444487573800e+05	(7.13045193924697e+01dB,3.02037964324421e+00°)
