Freq.	V(n016)
1.00000000000000e+05	(7.16024748325766e+01dB,4.28904300287246e+00°)
1.00695555005672e+05	(7.16465109119232e+01dB,4.20078030836964e+00°)
1.01395947979003e+05	(7.16965696212805e+01dB,4.10548914975692e+00°)
1.02101212570719e+05	(7.17540002074760e+01dB,4.00140447161993e+00°)
1.02811382665607e+05	(7.18205868490120e+01dB,3.88614256317367e+00°)
1.03526492384138e+05	(7.18987393988884e+01dB,3.75640517693564e+00°)
1.04246576084112e+05	(7.19917942321557e+01dB,3.60749685701764e+00°)
1.04971668362307e+05	(7.21045073027889e+01dB,3.43250255234595e+00°)
1.05701804056138e+05	(7.22438998966896e+01dB,3.22081147142474e+00°)
1.06437018245336e+05	(7.24207916343913e+01dB,2.95529340124057e+00°)
1.07177346253629e+05	(7.26527753531612e+01dB,2.60644986955884e+00°)
1.07922823650443e+05	(7.29705134974931e+01dB,2.11898810126002e+00°)
1.08673486252606e+05	(7.34326836884650e+01dB,1.37642338087681e+00°)
1.09429370126074e+05	(7.41675978773171e+01dB,8.72119974811289e-02°)
1.10190511587661e+05	(7.55206272620837e+01dB,-2.71842688697747e+00°)
1.10956947206785e+05	(7.88322472070993e+01dB,-1.28545103325482e+01°)
1.11728713807222e+05	(8.01562884898922e+01dB,-1.18516284853312e+02°)
1.12505848468881e+05	(4.99065623559905e+01dB,-9.53877400718614e+01°)
1.13288388529580e+05	(6.35863865104231e+01dB,5.40580226724419e+00°)
1.14076371586843e+05	(6.65768700060732e+01dB,6.26311133393094e+00°)
1.14869835499704e+05	(6.78245815158764e+01dB,6.05958538772442e+00°)
1.15668818390529e+05	(6.85149883785252e+01dB,5.79412867053806e+00°)
1.16473358646846e+05	(6.89543874173199e+01dB,5.56066759763875e+00°)
1.17283494923188e+05	(6.92589276615598e+01dB,5.36418326894890e+00°)
1.18099266142953e+05	(6.94825623684173e+01dB,5.19805905707712e+00°)
1.18920711500272e+05	(6.96538151673705e+01dB,5.05549980488899e+00°)
1.19747870461893e+05	(6.97891976059930e+01dB,4.93115228704144e+00°)
1.20580782769076e+05	(6.98989352438304e+01dB,4.82101876137890e+00°)
1.21419488439505e+05	(6.99897010938178e+01dB,4.72213365551600e+00°)
1.22264027769207e+05	(7.00660360054877e+01dB,4.63227979123249e+00°)
1.23114441334492e+05	(7.01311376881498e+01dB,4.54977847912270e+00°)
1.23970769993899e+05	(7.01873233467924e+01dB,4.47334098665585e+00°)
1.24833054890161e+05	(7.02363133471883e+01dB,4.40196427459167e+00°)
1.25701337452183e+05	(7.02794118190893e+01dB,4.33485741670640e+00°)
1.26575659397028e+05	(7.03176254017602e+01dB,4.27138911580168e+00°)
1.27456062731927e+05	(7.03517435214384e+01dB,4.21104979123474e+00°)
1.28342589756291e+05	(7.03823939982950e+01dB,4.15342382940080e+00°)
1.29235283063750e+05	(7.04100823990719e+01dB,4.09816900783844e+00°)
1.30134185544194e+05	(7.04352204221459e+01dB,4.04500104786279e+00°)
1.31039340385837e+05	(7.04581467234544e+01dB,3.99368187986202e+00°)
1.31950791077290e+05	(7.04791424324275e+01dB,3.94401062985104e+00°)
1.32868581409652e+05	(7.04984428733356e+01dB,3.89581662423856e+00°)
1.33792755478612e+05	(7.05162465324548e+01dB,3.84895390787254e+00°)
